id,name,series,printedTotal,total,legalities,ptcgoCode,releaseDate,updatedAt,symbol,logo
xy8,BREAKthrough,XY,162,165,"unlimited, expanded",BKT,2015/11/04,2019/04/10 19:59:00,https://images.pokemontcg.io/xy8/symbol.png,https://images.pokemontcg.io/xy8/logo.png
xy9,BREAKpoint,XY,122,126,"unlimited, expanded",BKP,2016/02/03,2020/08/14 09:35:00,https://images.pokemontcg.io/xy9/symbol.png,https://images.pokemontcg.io/xy9/logo.png
g1,Generations,XY,83,117,"unlimited, expanded",GEN,2016/02/22,2020/08/14 09:35:00,https://images.pokemontcg.io/g1/symbol.png,https://images.pokemontcg.io/g1/logo.png
xy10,Fates Collide,XY,124,129,"unlimited, expanded",FCO,2016/05/02,2018/09/03 11:49:00,https://images.pokemontcg.io/xy10/symbol.png,https://images.pokemontcg.io/xy10/logo.png
xy11,Steam Siege,XY,114,116,"unlimited, expanded",STS,2016/08/03,2019/04/10 19:59:00,https://images.pokemontcg.io/xy11/symbol.png,https://images.pokemontcg.io/xy11/logo.png
mcd16,McDonald's Collection 2016,Other,12,12,"unlimited, expanded",,2016/08/19,2022/10/10 15:12:00,https://images.pokemontcg.io/mcd16/symbol.png,https://images.pokemontcg.io/mcd16/logo.png
xy12,Evolutions,XY,108,113,"unlimited, expanded",EVO,2016/11/02,2020/09/25 10:09:00,https://images.pokemontcg.io/xy12/symbol.png,https://images.pokemontcg.io/xy12/logo.png
sm1,Sun & Moon,Sun & Moon,149,173,"unlimited, expanded",SUM,2017/02/03,2019/04/10 19:59:00,https://images.pokemontcg.io/sm1/symbol.png,https://images.pokemontcg.io/sm1/logo.png
smp,SM Black Star Promos,Sun & Moon,248,250,"unlimited, expanded",PR-SM,2017/02/03,2020/05/01 16:06:00,https://images.pokemontcg.io/smp/symbol.png,https://images.pokemontcg.io/smp/logo.png
sm2,Guardians Rising,Sun & Moon,145,180,"unlimited, expanded",GRI,2017/05/05,2022/10/11 21:39:00,https://images.pokemontcg.io/sm2/symbol.png,https://images.pokemontcg.io/sm2/logo.png
sm3,Burning Shadows,Sun & Moon,147,177,"unlimited, expanded",BUS,2017/08/05,2022/10/11 21:39:00,https://images.pokemontcg.io/sm3/symbol.png,https://images.pokemontcg.io/sm3/logo.png
sm35,Shining Legends,Sun & Moon,73,81,"unlimited, expanded",SLG,2017/10/06,2022/10/11 21:39:00,https://images.pokemontcg.io/sm35/symbol.png,https://images.pokemontcg.io/sm35/logo.png
sm4,Crimson Invasion,Sun & Moon,111,126,"unlimited, expanded",CIN,2017/11/03,2022/10/11 21:39:00,https://images.pokemontcg.io/sm4/symbol.png,https://images.pokemontcg.io/sm4/logo.png
sm5,Ultra Prism,Sun & Moon,156,178,"unlimited, expanded",UPR,2018/02/02,2019/02/19 23:25:00,https://images.pokemontcg.io/sm5/symbol.png,https://images.pokemontcg.io/sm5/logo.png
sm6,Forbidden Light,Sun & Moon,131,150,"unlimited, expanded",FLI,2018/05/04,2019/02/19 23:25:00,https://images.pokemontcg.io/sm6/symbol.png,https://images.pokemontcg.io/sm6/logo.png
sm7,Celestial Storm,Sun & Moon,168,187,"unlimited, expanded",CES,2018/08/03,2022/10/11 21:39:00,https://images.pokemontcg.io/sm7/symbol.png,https://images.pokemontcg.io/sm7/logo.png
sm75,Dragon Majesty,Sun & Moon,70,80,"unlimited, expanded",DRM,2018/09/07,2018/10/01 21:54:00,https://images.pokemontcg.io/sm75/symbol.png,https://images.pokemontcg.io/sm75/logo.png
sm8,Lost Thunder,Sun & Moon,214,240,"unlimited, expanded",LOT,2018/11/02,2020/08/14 09:35:00,https://images.pokemontcg.io/sm8/symbol.png,https://images.pokemontcg.io/sm8/logo.png
sm9,Team Up,Sun & Moon,181,198,"unlimited, expanded",TEU,2019/02/01,2021/09/01 05:37:00,https://images.pokemontcg.io/sm9/symbol.png,https://images.pokemontcg.io/sm9/logo.png
det1,Detective Pikachu,Sun & Moon,18,18,"unlimited, expanded",DET,2019/04/05,2021/09/01 05:37:00,https://images.pokemontcg.io/det1/symbol.png,https://images.pokemontcg.io/det1/logo.png
sm10,Unbroken Bonds,Sun & Moon,214,234,"unlimited, expanded",UNB,2019/05/03,2021/09/01 05:37:00,https://images.pokemontcg.io/sm10/symbol.png,https://images.pokemontcg.io/sm10/logo.png
sm11,Unified Minds,Sun & Moon,236,260,"unlimited, expanded",UNM,2019/08/02,2021/09/01 05:37:00,https://images.pokemontcg.io/sm11/symbol.png,https://images.pokemontcg.io/sm11/logo.png
sm115,Hidden Fates,Sun & Moon,68,69,"unlimited, expanded",HIF,2019/08/23,2021/09/01 05:37:00,https://images.pokemontcg.io/sm115/symbol.png,https://images.pokemontcg.io/sm115/logo.png
sma,Hidden Fates Shiny Vault,Sun & Moon,94,94,"unlimited, expanded",,2019/08/23,2021/09/01 05:37:00,https://images.pokemontcg.io/sma/symbol.png,https://images.pokemontcg.io/sma/logo.png
